frame_id,time_sec,valid_pose,mean_keypoint_conf,low_keypoint_count,nose_x,nose_y,left_eye_x,left_eye_y,right_eye_x,right_eye_y,left_ear_x,left_ear_y,right_ear_x,right_ear_y,left_shoulder_x,left_shoulder_y,right_shoulder_x,right_shoulder_y,left_elbow_x,left_elbow_y,right_elbow_x,right_elbow_y,left_wrist_x,left_wrist_y,right_wrist_x,right_wrist_y,left_hip_x,left_hip_y,right_hip_x,right_hip_y,left_knee_x,left_knee_y,right_knee_x,right_knee_y,left_ankle_x,left_ankle_y,right_ankle_x,right_ankle_y,left_elbow_angle,right_elbow_angle,left_knee_angle,right_knee_angle
34,1.1,1,0.8044,3,5.513072,0.921733,5.637798,0.816542,5.624503,0.731879,5.699826,0.413686,5.427908,0.411176,5.240124,0.428001,4.251973,0.581488,3.743677,0.990716,3.158497,1.743171,4.05974,1.480186,3.751778,2.147796,0.398349,0.208379,-0.398349,-0.208379,-3.877162,0.734695,-4.96998,0.700407,-6.947463,-0.061373,-7.63553,0.128522,77.756694,81.026828,158.446628,156.647783
35,1.1333,1,0.8062,2,26.830181,1.025966,27.303371,0.75807,28.014328,0.558489,27.365633,-0.420931,28.748783,-0.605396,23.563128,-0.579806,22.675842,-1.041027,17.631887,0.995985,17.023293,1.681063,21.220087,3.113157,21.842001,3.276298,0.928014,0.967659,-0.928014,-0.967659,-16.974186,1.081973,-18.781574,1.181414,-28.973297,-3.481457,-31.869455,-2.332465,45.420627,44.031141,158.811621,158.107653
36,1.1667,1,0.7813,3,32.686676,2.256619,33.270939,1.946575,34.260715,1.736813,33.548729,0.636234,35.522106,0.39762,29.051186,0.261286,28.320227,-0.421135,21.574766,1.617467,20.886044,2.503766,26.594591,3.256799,26.327873,4.152633,1.041462,1.244701,-1.041452,-1.244701,-22.021914,1.738089,-23.995943,1.861643,-37.578018,-4.012802,-41.15868,-2.436251,28.366904,38.333367,158.485762,158.234315
37,1.2,1,0.7876,3,53.775661,4.213812,54.52718,3.800418,56.3424,3.322179,53.997906,1.500931,57.789371,0.96306,45.672768,0.647493,45.704288,-0.35201,33.359905,2.508353,34.126663,4.162207,42.907356,5.240271,43.686954,6.658843,1.342686,1.870593,-1.342702,-1.870593,-34.073795,3.001077,-37.033985,3.386286,-58.405052,-6.193582,-64.28286,-3.738103,24.56215,35.936958,157.47044,156.96895
38,1.2333,1,0.7903,3,50.264629,3.919402,50.989212,3.531857,52.647217,3.081444,50.581341,1.36488,54.005932,0.847962,42.852837,0.580088,42.706707,-0.409177,31.388376,2.447226,31.923103,3.872014,40.179348,5.069532,41.003338,6.260453,1.310219,1.760733,-1.310219,-1.760733,-31.7465,2.846643,-34.521435,3.172354,-54.57333,-5.835862,-60.018547,-3.565289,25.859754,36.390636,157.293498,156.749112
39,1.2667,1,0.793,3,24.787163,1.90706,25.212486,1.724566,25.912003,1.490692,25.23629,0.731648,26.560268,0.425235,21.677605,0.412603,20.939182,-0.261736,16.217739,1.60013,15.605442,1.952751,20.233116,3.329629,20.408932,3.537545,0.858967,0.923786,-0.858974,-0.923786,-15.77908,1.556395,-17.291851,1.594169,-27.442865,-2.823784,-30.061138,-1.791724,35.573252,40.806515,157.239556,156.43778
40,1.3,1,0.8017,2,20.797033,1.495048,21.193325,1.346038,21.714252,1.134476,21.258514,0.542949,22.207466,0.253176,18.266903,0.301799,17.442478,-0.264173,13.772581,1.301646,13.08008,1.613037,17.152069,2.806411,17.239805,2.89447,0.784791,0.77448,-0.784797,-0.77448,-13.1419,1.358342,-14.535874,1.380115,-22.819008,-2.200069,-25.051668,-1.388392,36.54398,40.404819,157.410149,156.345351
41,1.3333,1,0.7961,2,19.9424,1.52374,20.312553,1.381346,20.807028,1.181481,20.360973,0.604905,21.243422,0.332117,17.521345,0.336498,16.688993,-0.21775,13.235727,1.299394,12.470969,1.599335,16.495594,2.788604,16.546019,2.934008,0.768662,0.74206,-0.768662,-0.74206,-12.568765,1.403524,-13.856221,1.42565,-22.117146,-2.127646,-24.215008,-1.327612,37.215381,41.440751,156.865425,155.710893
42,1.3667,1,0.7901,3,27.100046,2.195735,27.578327,2.013466,28.317751,1.728852,27.481403,0.973118,28.902109,0.589882,23.44828,0.500913,22.67388,-0.131782,17.499708,1.481603,16.857975,2.203012,22.225145,3.085974,22.041962,3.690854,0.927985,0.976191,-0.927978,-0.976191,-17.213449,1.759949,-18.955622,1.860556,-29.866642,-2.7244,-32.76582,-1.636158,28.11494,37.886851,158.011665,156.84895
43,1.4,1,0.7966,2,23.268591,0.958927,23.747169,0.789476,24.274704,0.5648,23.826248,0.105301,24.830463,-0.190873,20.480705,0.071778,19.648174,-0.482199,15.487705,1.085275,14.593017,1.665365,19.118645,2.341298,18.651087,2.812482,0.823388,0.883605,-0.823395,-0.883605,-15.314669,1.253162,-16.817322,1.229295,-26.425915,-2.618112,-28.911343,-1.782568,30.555846,38.801348,159.479291,158.49012
44,1.4333,1,0.7963,2,23.009062,0.977557,23.485249,0.807329,24.00771,0.589425,23.585344,0.129239,24.571943,-0.158505,20.282627,0.101253,19.45262,-0.456497,15.367136,1.106728,14.461222,1.6584,18.974606,2.330371,18.503273,2.819667,0.817941,0.878131,-0.817948,-0.878131,-15.195006,1.229145,-16.674379,1.196056,-26.11389,-2.603253,-28.574331,-1.770611,30.297283,38.99195,159.403786,158.548903
45,1.4667,1,0.7875,3,6.852256,0.750658,7.031534,0.662739,7.069049,0.524659,7.123671,0.334974,6.984632,0.242417,6.455691,0.397776,5.465463,0.537231,4.326371,0.993649,3.949277,1.959039,4.887472,1.635579,4.646117,2.5238,0.420815,0.274949,-0.420815,-0.274948,-5.139391,0.752454,-6.446825,0.68714,-9.131434,-0.017671,-9.972614,0.11816,64.477643,82.183459,164.172441,161.761788
46,1.5,1,0.7965,3,7.694375,0.93216,7.899807,0.826783,7.941969,0.64909,8.024977,0.413887,7.861075,0.260827,7.209743,0.522318,6.21204,0.590056,4.737653,1.258115,4.471272,2.226218,5.484094,2.057676,5.269802,3.05904,0.438867,0.327352,-0.438867,-0.327352,-5.818879,1.198298,-7.206501,1.06817,-10.437546,0.187832,-11.345377,0.296263,63.543089,89.429906,159.735888,157.784217
47,1.5333,1,0.8047,3,8.004663,1.178894,8.11762,0.999483,8.173863,0.872221,8.033144,0.333093,7.921194,0.343448,7.292283,0.42107,6.315916,0.63719,5.070909,1.270763,4.595288,2.37786,5.755982,2.243991,5.338825,3.29472,0.426964,0.291727,-0.426964,-0.291728,-5.569803,1.509084,-6.890539,1.490648,-10.158543,0.29911,-11.039251,0.649431,75.789796,96.291076,153.753037,153.12122
48,1.5667,1,0.826,2,9.200433,0.725825,9.385858,0.590449,9.417325,0.371468,9.251335,0.113553,9.128023,-0.06339,8.223319,0.43702,7.235829,0.279334,5.510456,1.497115,4.757261,2.069481,6.223768,3.119372,5.256048,3.806885,0.430898,0.422496,-0.430895,-0.422495,-6.625628,1.961491,-8.013041,1.655108,-11.836528,0.662291,-12.800241,0.776007,87.608608,109.820586,153.696944,154.270745
