frame_id,elapsed_sec,expected_label,segment_id,window_seconds,confidence_threshold,stabilization_buffer,stabilization_min_votes,keep_buffer_on_target,buffer_duration_sec,valid_feature_ratio,raw_label,threshold_label,stable_label,confidence,prediction_updated,processing_fps
165,6.1743,,0,5.0,0.55,5,3,0,2.3664,1.0,WARMING_UP,WARMING_UP,WARMING_UP,0.0,0,84.424
166,6.1858,,0,5.0,0.55,5,3,0,2.3779,1.0,WARMING_UP,WARMING_UP,WARMING_UP,0.0,0,84.935
167,6.1971,,0,5.0,0.55,5,3,0,2.3891,1.0,WARMING_UP,WARMING_UP,WARMING_UP,0.0,0,84.5
168,6.2093,,0,5.0,0.55,5,3,0,2.4014,1.0,WARMING_UP,WARMING_UP,WARMING_UP,0.0,0,82.929
169,6.224,,0,5.0,0.55,5,3,0,2.4161,1.0,WARMING_UP,WARMING_UP,WARMING_UP,0.0,0,82.731
170,6.2363,,0,5.0,0.55,5,3,0,2.4283,1.0,WARMING_UP,WARMING_UP,WARMING_UP,0.0,0,83.552
171,6.2477,,0,5.0,0.55,5,3,0,2.4397,1.0,WARMING_UP,WARMING_UP,WARMING_UP,0.0,0,83.892
172,6.2587,,0,5.0,0.55,5,3,0,2.4508,1.0,WARMING_UP,WARMING_UP,WARMING_UP,0.0,0,83.848
173,6.2707,,0,5.0,0.55,5,3,0,2.4628,1.0,WARMING_UP,WARMING_UP,WARMING_UP,0.0,0,84.133
174,6.2822,,0,5.0,0.55,5,3,0,2.4743,1.0,WARMING_UP,WARMING_UP,WARMING_UP,0.0,0,84.817
175,6.2932,,0,5.0,0.55,5,3,0,2.4853,1.0,WARMING_UP,WARMING_UP,WARMING_UP,0.0,0,84.938
176,6.3049,,0,5.0,0.55,5,3,0,2.497,1.0,WARMING_UP,WARMING_UP,WARMING_UP,0.0,0,85.196
177,6.3163,,0,5.0,0.55,5,3,0,2.5084,1.0,WARMING_UP,WARMING_UP,WARMING_UP,0.0,0,85.937
178,6.3274,,0,5.0,0.55,5,3,0,2.5195,1.0,WARMING_UP,WARMING_UP,WARMING_UP,0.0,0,85.901
179,6.3387,,0,5.0,0.55,5,3,0,2.5308,1.0,WARMING_UP,WARMING_UP,WARMING_UP,0.0,0,86.02
180,6.3503,,0,5.0,0.55,5,3,0,2.5424,1.0,WARMING_UP,WARMING_UP,WARMING_UP,0.0,0,86.826
181,6.3611,,0,5.0,0.55,5,3,0,2.5532,1.0,WARMING_UP,WARMING_UP,WARMING_UP,0.0,0,86.788
182,6.3724,,0,5.0,0.55,5,3,0,2.5645,1.0,WARMING_UP,WARMING_UP,WARMING_UP,0.0,0,87.195
183,6.3834,,0,5.0,0.55,5,3,0,2.5755,1.0,WARMING_UP,WARMING_UP,WARMING_UP,0.0,0,88.06
184,6.3939,,0,5.0,0.55,5,3,0,2.5859,1.0,WARMING_UP,WARMING_UP,WARMING_UP,0.0,0,88.312
185,6.4049,,0,5.0,0.55,5,3,0,2.5969,1.0,WARMING_UP,WARMING_UP,WARMING_UP,0.0,0,84.758
186,6.424,,0,5.0,0.55,5,3,0,2.616,1.0,WARMING_UP,WARMING_UP,WARMING_UP,0.0,0,85.022
187,6.4354,,0,5.0,0.55,5,3,0,2.6275,1.0,WARMING_UP,WARMING_UP,WARMING_UP,0.0,0,85.44
188,6.4471,,0,5.0,0.55,5,3,0,2.6392,1.0,WARMING_UP,WARMING_UP,WARMING_UP,0.0,0,85.383
189,6.4583,,0,5.0,0.55,5,3,0,2.6504,1.0,WARMING_UP,WARMING_UP,WARMING_UP,0.0,0,85.563
190,6.4698,,0,5.0,0.55,5,3,0,2.6619,1.0,WARMING_UP,WARMING_UP,WARMING_UP,0.0,0,86.343
191,6.4806,,0,5.0,0.55,5,3,0,2.6727,1.0,WARMING_UP,WARMING_UP,WARMING_UP,0.0,0,86.711
192,6.4914,,0,5.0,0.55,5,3,0,2.6835,1.0,WARMING_UP,WARMING_UP,WARMING_UP,0.0,0,87.18
193,6.5026,,0,5.0,0.55,5,3,0,2.6946,1.0,WARMING_UP,WARMING_UP,WARMING_UP,0.0,0,87.042
194,6.5144,,0,5.0,0.55,5,3,0,2.7065,1.0,WARMING_UP,WARMING_UP,WARMING_UP,0.0,0,87.227
195,6.5254,,0,5.0,0.55,5,3,0,2.7174,1.0,WARMING_UP,WARMING_UP,WARMING_UP,0.0,0,87.57
196,6.5365,,0,5.0,0.55,5,3,0,2.7285,1.0,WARMING_UP,WARMING_UP,WARMING_UP,0.0,0,85.934
197,6.5506,,0,5.0,0.55,5,3,0,2.7427,1.0,WARMING_UP,WARMING_UP,WARMING_UP,0.0,0,86.479
198,6.5616,,0,5.0,0.55,5,3,0,2.7537,1.0,WARMING_UP,WARMING_UP,WARMING_UP,0.0,0,86.728
199,6.5727,,0,5.0,0.55,5,3,0,2.7648,1.0,WARMING_UP,WARMING_UP,WARMING_UP,0.0,0,87.144
200,6.5838,,0,5.0,0.55,5,3,0,2.7759,1.0,WARMING_UP,WARMING_UP,WARMING_UP,0.0,0,87.099
